background	greenplant	purpleplant
75,72,86	140,170,126	130,104,110
72,85,72	148,176,124	131,109,104
70,87,55	148,180,119	131,107,106
68,81,68	132,171,114	131,109,104
91,89,73	133,168,121	131,107,106
91,93,87	128,170,108	129,115,102
86,83,95	131,169,101	129,115,102
94,91,85	135,168,99	127,115,107
87,90,73	141,167,97	147,140,125
84,87,74	146,165,94	148,139,124
81,89,66	140,164,83	106,93,64
87,90,73	137,162,82	106,85,69
81,89,76	129,167,92	100,94,69
97,94,84	132,169,69	147,120,107
89,101,81	122,170,66	147,117,104
84,100,80	118,170,65	145,118,104
75,96,85	124,169,70	142,121,99
80,94,93	125,171,69	142,120,90
85,95,94	114,173,64	142,113,90
93,91,99	112,171,63	143,119,89
103,101,95	116,174,61	145,115,92
98,104,89	127,174,65	142,114,94
175,181,132	141,177,90	163,127,88
177,181,133	149,179,90	164,121,93
175,179,134	145,177,89	161,130,99
167,177,131	137,176,83	159,135,99
171,177,130	132,175,79	159,129,97
172,180,132	126,173,80	159,129,106
175,179,141	132,172,84	160,124,110
179,173,143	130,172,80	162,116,107
172,177,135	143,171,79	161,122,102
86,101,115	122,167,78	140,114,103
86,112,114	121,167,72	139,113,105
91,102,116	120,169,63	137,114,107
91,109,116	126,168,68	136,112,105
85,93,118	127,170,69	136,112,97
75,102,116	126,172,66	136,106,105
82,90,120	124,171,63	134,113,108
88,106,122	127,171,69	131,115,108
78,95,124	125,171,69	131,109,104
112,118,104	144,181,73	155,151,112
112,118,108	142,181,69	145,151,114
112,113,113	141,181,66	145,152,109
103,111,118	147,181,73	151,149,112
104,104,121	142,180,77	152,147,111
112,109,120	141,180,75	154,141,115
108,109,113	140,181,71	156,139,116
99,104,111	147,181,73	158,137,108
106,115,110	135,180,68	158,142,105
41,58,44	114,146,72	131,100,99
28,49,42	114,144,74	129,101,93
28,49,42	112,142,76	127,105,85
22,49,35	109,141,76	126,97,84
22,49,35	105,141,71	124,102,81
22,42,35	103,140,75	120,106,98
28,39,37	101,138,78	120,99,110
34,45,44	99,139,74	117,93,91
35,46,50	92,139,66	119,98,72
57,74,133	147,180,67	126,113,112
55,83,140	140,181,63	126,113,112
58,93,140	138,182,63	126,110,108
50,76,139	138,182,64	124,111,110
42,75,133	141,181,65	124,114,106
44,67,128	136,182,62	124,108,110
44,70,128	142,183,65	124,114,109
45,65,128	142,182,66	126,117,100
47,68,123	146,183,67	126,110,94
70,64,63	219,168,91	127,105,93
70,59,58	218,172,93	124,111,95
70,49,59	216,168,95	117,108,98
66,60,59	216,164,96	117,97,104
60,59,63	216,168,95	115,109,107
54,63,62	216,172,94	122,106,112
47,61,61	215,171,94	126,110,105
54,58,62	215,175,94	126,107,102
60,64,57	215,177,100	124,114,113
109,121,111	220,168,89	108,102,113
107,125,116	220,176,87	108,106,109
104,120,123	219,172,90	113,107,102
103,128,119	220,173,91	115,101,100
105,126,117	220,169,90	113,95,107
104,125,127	219,176,88	108,98,105
96,113,133	219,177,91	111,101,99
94,117,131	220,174,92	111,101,95
101,121,130	221,171,94	108,101,96
69,97,149	194,200,83	113,100,81
67,101,148	189,197,89	113,100,81
68,101,147	184,194,95	115,98,81
71,106,146	179,191,96	115,96,81
69,107,144	171,189,95	114,96,86
69,104,144	170,187,97	111,102,79
73,107,144	162,184,95	113,97,70
75,105,145	162,181,101	113,96,73
78,105,146	156,180,99	113,96,73
226,225,211	197,147,66	113,96,77
221,223,213	197,148,71	111,98,83
206,222,211	198,150,74	111,102,82
212,224,214	199,149,68	108,106,78
220,224,219	198,146,65	108,106,82
217,224,220	197,143,67	108,99,83
216,223,216	196,142,67	108,98,79
217,224,213	194,136,81	111,94,75
215,224,216	196,142,91	113,85,75
202,203,197	138,178,77	103,102,72
208,205,195	133,176,82	100,103,68
212,206,190	127,175,83	97,100,60
208,206,187	122,175,77	97,87,61
204,205,187	126,175,74	94,88,62
207,206,185	131,175,73	94,79,68
211,207,192	133,175,69	97,86,71
205,206,193	135,176,73	103,85,61
203,207,191	133,175,78	97,91,47
193,194,189	181,190,100	115,109,83
188,195,189	177,190,104	113,108,85
185,199,184	180,191,108	115,113,79
187,201,183	180,192,100	117,117,66
183,202,179	185,192,92	117,113,54
186,201,183	188,193,95	117,106,63
188,201,182	195,190,96	117,109,70
195,200,191	197,182,88	117,104,82
191,199,191	201,178,83	118,104,91
198,215,202	211,193,87	115,102,80
208,217,202	208,195,85	111,109,78
213,218,204	205,195,82	113,104,73
209,217,207	202,193,82	115,95,77
205,218,204	200,198,79	113,100,81
201,218,196	199,191,88	112,105,87
207,218,207	195,193,96	109,98,92
208,216,212	190,188,97	107,108,88
204,217,208	176,189,91	108,95,79
205,217,213	133,175,82	148,145,122
211,218,211	135,176,82	147,147,119
210,219,205	138,175,81	148,145,119
211,218,207	137,175,86	150,145,116
215,218,210	135,175,87	151,132,115
217,219,209	141,175,85	151,137,114
219,220,209	142,174,81	151,141,114
220,220,209	144,176,77	150,142,118
215,218,210	140,177,71	150,139,122
229,236,216	197,134,76	103,97,69
236,235,223	197,133,74	100,99,69
234,234,225	198,137,74	92,104,61
232,235,226	199,146,73	94,97,66
236,234,230	199,138,75	100,90,65
236,234,228	197,140,79	106,85,65
231,235,225	196,146,77	103,85,61
228,233,227	197,150,76	100,87,57
232,234,230	199,139,76	100,94,56
118,127,126	128,162,63	113,89,66
122,129,123	122,166,55	113,93,66
130,124,121	121,167,60	111,94,80
134,128,118	117,167,62	114,93,90
132,132,115	121,165,67	116,95,85
128,125,123	121,167,64	115,96,81
122,115,124	123,171,65	115,96,81
116,123,121	127,171,69	115,96,81
119,119,121	130,171,73	115,103,76
116,117,110	107,153,71	132,109,108
111,112,110	107,154,66	132,113,109
107,115,109	111,154,64	133,118,99
113,118,107	111,155,63	133,112,94
121,114,112	110,156,65	133,109,98
113,107,113	107,156,69	131,114,101
100,108,110	105,158,68	129,121,101
105,116,110	109,157,70	131,116,97
111,116,110	110,156,70	133,112,104
200,210,201	115,144,97	113,107,93
206,206,193	112,146,97	115,106,101
191,194,189	112,145,100	113,103,106
179,159,160	108,144,100	113,103,102
155,127,104	105,142,93	115,99,93
113,110,112	105,142,86	117,93,96
109,98,92	109,140,88	117,100,99
103,89,82	99,141,81	120,100,99
94,93,71	95,139,78	120,100,95
200,208,197	114,156,90	127,112,103
205,199,166	116,159,85	130,107,111
182,162,135	120,157,86	128,111,118
148,113,135	122,157,89	128,105,111
128,106,92	122,158,90	129,104,104
104,97,100	120,159,93	132,109,108
98,95,93	129,163,96	132,109,113
94,87,85	136,167,113	133,105,104
87,90,73	137,171,124	129,108,99
207,222,208	136,165,102	129,108,99
209,221,207	136,167,109	133,112,100
217,220,208	135,168,105	134,107,103
209,217,205	129,173,98	134,107,103
208,214,202	138,171,102	134,104,99
210,210,198	142,173,100	134,107,99
201,204,204	151,171,101	134,104,103
198,209,203	151,170,99	134,111,96
182,212,204	149,168,96	133,112,94
229,230,231	134,170,79	113,103,93
228,228,232	134,170,77	115,105,93
228,228,231	132,171,72	115,105,93
232,226,233	133,173,66	113,103,90
231,234,228	138,172,71	115,109,84
230,235,228	140,169,76	117,104,87
233,233,232	128,172,68	117,104,91
236,236,230	135,174,68	115,99,89
235,233,231	146,175,72	115,95,89
235,236,228	115,145,100	115,110,92
232,235,228	108,144,98	117,104,99
234,235,232	100,143,91	115,106,108
232,235,228	105,142,90	113,103,106
235,236,226	110,142,89	115,102,97
238,235,224	99,141,84	117,97,92
238,236,228	91,138,84	115,102,85
235,235,232	101,138,87	113,99,98
232,233,232	111,139,91	117,100,104
76,69,57	99,141,81	150,142,118
76,69,67	95,139,78	150,139,122
84,82,75	114,156,90	103,97,69
91,93,87	116,159,85	100,99,69
95,101,94	120,157,86	92,104,61
104,105,89	122,157,89	94,97,66
100,97,86	122,158,90	100,90,65
97,90,75	120,159,93	106,85,65
91,85,63	129,163,96	103,85,61
55,53,57	136,167,113	100,87,57
55,53,57	137,171,124	100,94,56
56,54,53	136,165,102	113,89,66
48,53,45	136,167,109	113,93,66
48,47,46	135,168,105	111,94,80
55,54,41	129,173,98	114,93,90
60,55,47	138,171,102	116,95,85
48,53,45	142,173,100	115,96,81
42,57,50	151,171,101	115,96,81
214,220,209	151,170,99	115,96,81
216,219,191	149,168,96	115,103,76
204,198,201	134,170,79	132,109,108
188,152,172	99,141,81	132,113,109
163,128,103	95,139,78	133,118,99
127,121,115	114,156,90	133,112,94
118,112,93	116,159,85	133,109,98
107,108,102	120,157,86	131,114,101
104,97,100	122,157,89	129,121,101
78,86,79	122,158,90	131,116,97
78,81,79	120,159,93	133,112,104
78,86,73	129,163,96	150,142,118
74,82,75	136,167,113	150,139,122
67,84,71	137,171,124	103,97,69
72,84,78	136,165,102	100,99,69
72,80,78	136,167,109	92,104,61
74,77,75	135,168,105	94,97,66
72,80,78	129,173,98	100,90,65
107,108,102	138,171,102	106,85,65
99,108,102	142,173,100	103,85,61
104,109,103	151,171,101	100,87,57
112,101,99	151,170,99	100,94,56
109,110,91	149,168,96	113,89,66
98,114,95	134,170,79	113,93,66
105,106,108	99,141,81	111,94,80
112,104,103	95,139,78	114,93,90
116,105,92	114,156,90	116,95,85
88,86,90	116,159,85	115,96,81
87,85,78	120,157,86	115,96,81
81,89,72	122,157,89	115,96,81
80,83,70	122,158,90	115,103,76
80,83,76	120,159,93	132,109,108
78,81,79	129,163,96	132,113,109
78,86,73	136,167,113	133,118,99
78,86,63	137,171,124	133,112,94
80,83,70	136,165,102	133,109,98
94,87,76	136,167,109	131,114,101
97,90,79	135,168,105	129,121,101
95,87,90	129,173,98	131,116,97
91,93,87	138,171,102	133,112,104
85,93,80	142,173,100	150,142,118
81,89,76	151,171,101	150,139,122
87,90,73	151,170,99	103,97,69
87,90,77	149,168,96	100,99,69
81,83,82	134,170,79	92,104,61
86,90,73	124,167,72	146,119,97
86,85,74	119,169,68	147,116,96
80,89,72	119,169,68	145,115,98
81,83,83	124,169,69	140,120,94
78,84,88	132,169,76	142,117,90
78,80,89	119,170,75	142,117,93
85,83,87	114,168,70	143,118,92
94,79,78	115,170,59	143,115,89
90,94,67	122,171,65	140,111,88
193,200,153	141,176,91	164,129,102
197,198,160	143,177,92	163,128,100
189,198,156	140,175,91	161,126,99
191,195,163	136,175,81	159,135,97
194,198,159	133,174,71	157,125,100
202,195,161	131,173,74	154,134,104
191,199,155	134,172,76	156,124,109
192,196,160	130,172,72	157,128,107
184,199,150	137,171,72	158,122,110
81,97,85	125,169,72	145,121,106
88,90,90	121,168,71	142,126,105
85,98,81	120,171,67	139,122,108
94,96,80	117,168,70	134,125,106
93,97,71	125,169,71	136,119,107
94,91,81	128,172,68	136,119,104
97,99,83	119,173,62	131,119,107
97,95,89	118,170,68	126,119,111
89,100,89	127,170,76	129,110,109
117,123,102	143,181,71	158,149,109
117,118,109	135,180,68	156,149,112
115,121,111	138,180,67	156,151,109
111,112,116	143,181,70	157,150,110
114,107,118	144,181,72	157,143,114
114,107,118	139,182,66	157,133,120
111,112,116	137,183,63	158,139,121
108,109,113	143,182,69	159,138,115
110,111,111	137,179,73	159,138,107
35,56,49	116,147,75	131,103,101
40,52,44	112,145,76	129,108,95
34,51,37	109,143,73	129,118,84
34,51,37	105,141,71	127,105,85
34,51,31	101,141,67	126,104,87
34,44,37	98,140,73	122,102,97
40,46,38	99,139,77	120,96,107
48,47,46	99,139,74	117,100,95
42,46,51	96,139,70	120,103,86
66,82,141	135,181,68	124,125,112
59,89,142	136,181,70	126,120,115
57,83,139	135,182,66	128,111,114
51,74,135	142,181,67	128,115,117
47,69,130	138,181,66	128,118,120
49,70,126	136,183,65	126,120,115
47,68,123	138,182,65	126,120,111
48,62,121	139,182,66	124,121,109
45,68,120	139,183,66	126,120,107
66,65,63	216,159,91	127,109,96
70,54,59	217,171,91	124,111,99
70,59,53	218,166,95	120,107,102
64,74,50	217,170,100	120,103,102
53,63,56	216,174,99	122,106,101
47,61,61	217,173,97	122,99,97
41,55,60	218,171,100	122,99,97
52,51,66	217,175,103	120,103,98
66,60,59	216,177,107	117,114,113
91,106,95	220,172,88	118,104,119
94,107,102	218,179,88	117,103,110
90,99,106	217,179,91	120,103,98
86,106,105	220,177,91	120,100,107
86,98,106	221,172,88	116,98,112
82,104,108	221,181,87	106,96,108
78,104,114	220,177,89	108,105,100
80,106,112	220,173,90	106,108,97
88,107,113	221,174,91	108,102,88
70,95,148	201,203,83	114,104,85
70,98,148	194,200,84	112,102,87
70,98,148	191,199,85	113,104,81
68,99,146	195,196,93	118,97,87
71,99,147	187,194,94	114,99,93
73,101,145	180,190,95	111,102,82
74,102,144	169,187,92	113,101,69
73,104,145	160,184,97	117,90,72
77,102,148	155,183,100	115,95,73
222,224,214	198,148,70	111,102,82
212,223,211	197,151,67	113,97,82
205,222,209	198,151,67	113,100,81
210,222,213	199,151,65	111,109,82
214,223,215	197,146,64	108,106,82
214,223,216	196,142,68	108,99,83
215,223,216	196,140,73	106,100,81
216,223,215	195,144,83	111,94,80
214,224,216	197,149,92	113,93,74
193,205,193	137,178,81	103,97,77
196,207,189	135,176,86	100,99,73
201,208,188	131,174,89	100,94,69
196,209,178	119,174,82	97,91,66
201,208,186	124,175,81	91,89,63
204,208,186	127,176,75	76,88,61
209,209,193	128,177,71	94,92,67
205,208,196	131,175,73	103,90,60
203,207,195	132,175,76	97,96,51
200,196,184	183,191,104	120,118,84
199,186,191	177,191,102	116,117,86
198,197,189	177,191,103	116,117,86
195,200,185	172,190,97	115,117,82
184,200,181	176,192,93	120,116,73
180,201,179	182,193,91	122,114,76
188,200,185	194,192,88	120,119,80
198,200,189	197,182,86	115,117,82
194,200,184	201,178,84	121,111,85
202,217,198	215,192,85	113,107,80
206,217,200	211,193,87	108,110,82
210,219,204	209,192,89	113,104,81
208,217,209	206,193,87	117,101,79
204,217,206	204,198,85	113,107,80
205,218,204	201,196,90	109,102,87
205,217,206	197,198,96	107,96,94
203,217,206	187,195,92	103,101,81
202,216,209	175,192,87	108,91,68
205,211,217	141,177,81	155,147,114
210,218,212	138,176,80	153,145,117
210,219,203	141,175,85	153,142,118
209,219,203	141,176,88	153,139,112
209,217,207	140,176,91	153,141,103
209,217,210	137,176,86	153,138,106
212,219,210	140,175,86	152,145,107
213,219,207	138,176,80	151,146,113
209,218,203	133,177,74	152,139,116
238,236,229	196,139,78	103,102,72
241,235,232	197,139,78	100,103,68
234,235,226	198,136,79	97,100,60
230,234,225	199,137,80	97,87,61
233,234,223	201,130,80	94,88,62
234,235,223	199,141,80	94,79,68
234,234,225	198,144,78	97,86,71
236,232,232	199,147,74	103,85,61
236,232,233	201,136,76	97,91,47
111,120,128	121,168,59	115,92,69
115,118,126	119,166,57	113,86,71
124,124,122	116,166,56	111,94,75
120,130,117	117,163,60	111,87,84
122,129,119	113,163,64	111,94,80
126,123,124	119,164,70	113,93,77
118,118,123	118,167,64	113,89,78
119,126,120	122,169,60	111,82,84
120,125,114	131,170,63	108,95,79
108,120,101	109,154,73	133,112,100
100,116,101	110,155,66	134,110,102
96,115,108	111,154,59	134,114,98
99,110,112	111,154,64	134,114,98
111,116,110	110,155,66	133,112,104
105,113,102	109,154,69	131,116,108
98,114,103	107,156,69	127,119,106
103,114,108	107,156,69	133,112,100
107,108,110	108,155,67	136,113,101
197,211,192	111,143,94	113,107,98
199,205,185	115,145,100	117,104,95
180,195,180	115,145,100	115,106,96
178,168,157	108,144,98	113,103,98
153,115,101	100,143,91	117,100,99
114,115,104	105,142,90	120,100,99
106,100,85	110,142,89	120,103,102
97,90,79	99,141,84	117,100,99
94,83,77	91,138,84	117,101,95
191,210,190	113,155,96	127,115,103
205,192,165	116,156,90	127,112,107
183,150,134	119,154,89	130,107,113
149,129,129	119,155,90	130,104,110
132,101,91	116,154,96	130,100,107
107,100,93	110,155,93	127,112,107
103,93,86	116,155,94	132,113,109
97,90,84	116,158,100	134,107,103
85,92,86	124,161,107	131,103,101
215,222,211	127,160,81	142,112,91
215,220,210	129,161,92	145,110,93
219,219,210	135,162,106	145,115,96
213,218,206	128,165,114	146,110,92
213,214,203	125,166,110	146,118,86
215,209,201	132,168,111	146,106,90
211,197,207	136,172,107	145,116,92
198,210,198	141,171,108	145,111,96
176,212,200	141,173,102	146,118,94
229,233,231	133,172,67	115,102,88
219,230,230	139,171,67	115,102,97
224,229,231	137,170,65	115,106,101
231,231,232	138,174,59	115,102,97
236,235,230	139,173,63	115,105,93
234,235,229	141,174,68	115,102,93
232,233,232	142,174,71	115,102,93
232,232,232	136,174,72	113,99,94
232,231,232	132,173,76	113,100,90
237,236,228	113,145,96	120,111,97
232,236,226	108,144,92	120,103,98
230,235,228	100,143,91	120,100,102
235,235,232	105,142,93	117,100,99
242,236,232	112,140,95	117,97,96
242,233,227	108,141,87	115,102,97
239,236,228	104,138,92	115,106,96
237,236,231	106,139,94	113,107,102
235,235,231	110,139,95	117,104,102
80,64,57	99,141,84	151,146,113
76,74,67	91,138,84	152,139,116
87,80,78	113,155,96	103,102,72
97,94,83	116,156,90	100,103,68
102,107,92	119,154,89	97,100,60
107,108,97	119,155,90	97,87,61
102,103,101	116,154,96	94,88,62
100,97,86	110,155,93	94,79,68
97,86,71	116,155,94	97,86,71
67,60,59	116,158,100	103,85,61
60,53,63	124,161,107	97,91,47
55,53,57	127,160,81	115,92,69
56,54,53	129,161,92	113,86,71
48,52,51	135,162,106	111,94,75
61,54,57	128,165,114	111,87,84
67,60,53	125,166,110	111,94,80
56,54,53	132,168,111	113,93,77
42,51,50	136,172,107	113,89,78
214,219,213	141,171,108	111,82,84
221,214,197	141,173,102	108,95,79
201,202,196	133,172,67	133,112,100
183,164,168	99,141,84	134,110,102
158,114,101	91,138,84	134,114,98
116,121,110	113,155,96	134,114,98
112,105,98	116,156,90	133,112,104
99,100,98	119,154,89	131,116,108
101,89,97	119,155,90	127,119,106
80,73,76	116,154,96	133,112,100
74,77,75	110,155,93	136,113,101
74,82,69	116,155,94	151,146,113
68,81,63	116,158,100	152,139,116
64,76,70	124,161,107	103,102,72
70,78,71	127,160,81	100,103,68
80,73,76	129,161,92	97,100,60
74,72,76	135,162,106	97,87,61
74,72,76	128,165,114	94,88,62
90,100,94	125,166,110	94,79,68
79,97,95	132,168,111	97,86,71
94,99,97	136,172,107	103,85,61
104,101,95	141,171,108	97,91,47
99,104,93	141,173,102	115,92,69
94,103,92	133,172,67	113,86,71
94,99,97	99,141,84	111,94,75
95,101,94	91,138,84	111,87,84
103,93,86	113,155,96	111,94,80
98,82,89	116,156,90	113,93,77
91,75,88	119,154,89	113,89,78
78,81,79	119,155,90	111,82,84
80,78,71	116,154,96	108,95,79
74,77,75	110,155,93	133,112,100
78,71,80	116,155,94	134,110,102
84,82,69	116,158,100	134,114,98
84,82,65	124,161,107	134,114,98
84,82,75	127,160,81	133,112,104
97,90,75	129,161,92	131,116,108
103,89,73	135,162,106	127,119,106
97,90,75	128,165,114	133,112,100
94,87,81	125,166,110	136,113,101
91,93,87	132,168,111	151,146,113
91,84,82	136,172,107	152,139,116
91,89,77	141,171,108	103,102,72
88,96,79	141,173,102	100,103,68
91,93,87	133,172,67	97,100,60
71,80,79	108,168,63	145,123,85
77,80,80	111,169,63	149,115,87
77,75,80	115,170,64	145,121,88
77,80,80	120,170,68	139,124,90
77,80,80	125,171,66	143,115,89
71,80,79	118,170,64	145,110,92
77,75,80	111,168,64	146,114,94
77,80,80	115,168,65	146,111,89
75,88,76	112,169,65	141,115,81
194,203,188	138,176,86	173,134,108
193,204,187	140,174,88	177,119,99
190,202,190	142,173,88	177,136,86
183,201,188	137,173,82	178,128,86
192,202,195	138,173,78	175,144,84
194,203,190	137,172,76	172,130,90
194,203,188	136,171,75	173,138,87
192,204,185	133,171,75	176,124,94
193,203,186	136,169,77	176,137,97
64,81,80	124,170,64	163,136,97
64,81,80	130,168,73	163,124,95
69,82,81	123,169,73	159,136,92
75,88,76	123,169,73	156,127,98
86,85,74	126,170,72	154,132,99
90,89,78	128,171,71	151,117,96
82,95,78	119,171,66	150,125,88
80,88,82	124,169,75	149,106,96
85,87,87	123,171,77	149,118,99
117,115,102	134,180,65	161,152,107
117,111,110	131,180,67	162,149,108
112,113,113	139,180,69	162,151,110
112,110,113	146,181,68	161,148,112
115,112,112	142,182,64	161,140,113
107,105,116	136,184,58	160,144,116
105,106,117	138,183,56	160,148,121
112,113,113	146,182,67	160,144,116
113,114,109	142,182,74	160,137,114
35,56,49	108,146,76	145,115,95
47,53,45	109,144,76	140,104,89
47,47,34	102,142,72	136,113,81
40,46,33	98,140,69	133,96,88
47,47,40	99,141,64	131,104,88
48,47,46	98,140,69	129,101,93
55,44,53	103,140,78	124,104,100
53,47,58	109,138,78	117,107,102
47,51,62	103,140,71	117,100,99
58,83,144	139,183,74	121,126,109
56,79,144	140,184,74	125,125,120
54,81,136	138,184,68	128,121,120
51,75,129	139,183,65	134,114,124
49,65,127	136,182,69	130,119,130
47,63,124	137,183,70	130,126,121
46,66,120	135,182,65	129,120,108
49,74,113	137,183,63	130,113,112
50,67,120	144,185,67	130,120,115
70,69,62	213,175,98	127,111,96
66,65,58	216,180,97	126,111,97
66,65,53	218,174,97	122,109,96
65,71,41	217,174,101	124,98,93
60,64,51	215,182,103	126,100,91
53,63,56	218,180,103	122,89,95
54,58,62	220,174,105	115,94,97
52,56,66	219,179,109	113,95,98
60,59,63	218,182,109	108,105,104
90,89,73	220,164,88	125,101,114
90,89,78	219,172,88	124,101,107
90,94,77	218,176,90	124,101,104
94,87,81	219,177,91	124,98,104
91,93,87	220,173,89	117,100,103
88,86,90	220,176,88	106,100,107
94,96,90	220,172,89	103,109,103
94,91,91	219,172,88	94,103,102
97,99,89	218,167,90	108,98,101
72,96,147	205,195,82	113,108,85
73,100,147	202,193,82	108,110,86
71,101,147	200,198,79	113,107,80
70,100,148	199,191,88	117,105,75
69,95,149	195,193,96	115,106,75
75,96,146	190,188,97	111,110,73
76,105,142	176,189,91	115,106,72
69,104,144	169,185,99	120,102,75
73,102,148	159,183,102	116,99,84
208,222,210	198,148,71	117,104,82
206,222,209	197,154,65	115,103,76
207,222,214	196,153,61	115,98,81
210,220,220	196,149,62	114,104,85
207,222,214	197,146,64	111,102,82
214,222,215	197,145,72	111,102,79
217,224,216	197,146,77	111,102,79
217,224,216	196,149,85	113,100,77
217,224,216	199,160,91	115,99,73
196,206,198	141,178,89	103,97,81
200,208,195	138,176,90	100,98,82
207,209,192	138,176,90	97,95,79
200,208,184	135,177,87	97,91,70
199,207,190	135,177,87	91,94,58
202,208,194	134,177,83	85,93,61
201,209,193	139,176,78	91,89,63
204,209,199	152,174,84	97,87,61
206,207,205	139,176,76	91,89,58
203,194,183	181,192,106	127,117,85
200,196,191	175,192,101	125,119,90
202,192,194	182,191,99	125,115,91
198,200,189	190,191,103	123,117,91
183,200,182	188,193,98	123,117,91
175,199,183	193,191,89	125,115,91
190,198,190	196,187,80	123,120,87
199,200,192	200,177,82	120,118,84
197,199,191	202,179,83	122,114,81
209,218,204	218,191,82	122,110,76
206,218,203	216,187,89	115,109,83
209,218,204	213,189,94	116,102,88
211,216,209	211,191,93	115,102,84
204,216,205	208,195,91	111,105,78
204,216,206	205,196,93	109,99,88
202,216,206	201,199,95	107,100,93
197,217,204	197,198,93	103,101,76
199,216,208	187,195,89	106,98,55
212,213,216	140,177,78	161,152,104
212,217,212	141,177,80	158,149,110
213,218,209	142,178,83	158,143,113
213,218,208	144,177,90	157,148,106
207,216,208	144,178,92	156,152,101
199,216,206	141,179,91	155,147,105
201,217,206	143,179,88	153,148,111
211,217,210	147,179,86	152,147,112
210,216,214	141,179,78	155,140,115
242,234,233	194,141,77	103,97,77
238,235,228	196,142,76	100,99,73
230,234,223	197,136,79	100,94,69
227,234,220	200,134,81	97,91,66
234,234,224	202,135,82	91,89,63
235,235,223	201,143,83	76,88,61
239,235,229	200,146,80	94,92,67
241,234,232	201,148,74	103,90,60
239,234,233	202,141,78	97,96,51
108,121,126	120,172,56	113,100,77
112,119,124	121,171,54	111,99,70
112,115,121	124,170,54	111,102,74
108,125,119	123,168,54	111,94,75
116,126,117	126,165,66	111,91,76
127,127,121	123,166,71	111,90,71
120,120,122	125,164,65	111,87,76
114,121,120	121,166,52	111,90,80
119,119,121	122,166,55	111,90,84
105,113,99	110,155,66	133,112,97
98,114,95	110,154,62	134,111,96
91,111,100	111,153,60	136,109,98
94,109,107	107,153,61	133,115,103
94,106,107	107,154,66	132,113,109
94,106,107	107,154,66	130,114,113
89,105,106	105,154,67	128,115,110
94,113,106	107,154,66	131,114,101
100,112,106	107,153,66	134,114,102
199,211,186	115,142,97	115,102,97
194,207,176	110,144,95	117,97,92
186,193,187	113,145,96	115,102,85
177,165,155	108,144,92	113,99,98
152,130,92	100,143,91	117,100,104
112,105,98	105,142,93	120,97,104
106,96,77	112,140,95	120,100,102
97,86,80	108,141,87	120,100,99
94,83,77	104,138,92	117,101,92
197,208,197	121,159,99	131,110,98
204,198,166	124,157,96	129,107,102
181,162,136	123,157,85	129,111,106
147,112,134	125,155,95	129,107,106
130,99,89	121,155,98	127,105,108
109,90,93	115,155,92	127,115,107
100,90,83	114,155,87	129,114,105
95,83,90	114,154,85	133,109,104
82,83,91	119,157,80	131,107,102
219,222,213	114,153,79	153,122,115
220,218,218	122,155,85	155,139,113
219,219,214	129,158,94	156,128,115
213,218,203	127,156,104	156,145,113
217,215,204	116,159,97	157,140,116
218,203,199	127,162,99	157,147,118
217,203,201	134,166,99	156,130,126
202,210,196	137,171,97	153,153,123
175,211,199	146,171,99	158,136,118
231,235,228	135,173,69	117,101,92
225,235,228	139,170,70	113,107,98
225,227,232	137,172,68	115,106,101
230,230,232	135,175,67	117,101,95
233,234,228	136,174,70	115,105,93
233,235,229	142,176,74	113,107,93
232,233,232	155,176,81	113,107,93
230,229,232	133,174,77	111,101,96
229,230,231	122,168,77	111,105,96
237,236,229	109,145,94	117,108,103
231,235,225	106,145,91	120,103,98
228,234,228	100,143,91	120,104,95
229,231,231	103,144,93	120,104,95
236,230,232	108,142,93	117,104,95
236,235,227	110,142,92	115,109,104
232,235,226	113,142,92	113,110,110
232,235,225	109,140,86	113,107,110
236,236,229	103,140,84	115,106,104
76,69,57	108,141,87	152,147,112
76,79,72	104,138,92	155,140,115
84,82,79	121,159,99	103,97,77
88,95,89	124,157,96	100,99,73
91,106,90	123,157,85	100,94,69
95,108,101	125,155,95	97,91,66
94,98,108	121,155,98	91,89,63
107,100,98	115,155,92	76,88,61
97,90,79	114,155,87	94,92,67
61,54,57	114,154,85	103,90,60
59,57,66	119,157,80	97,96,51
55,58,62	114,153,79	113,100,77
55,53,57	122,155,85	111,99,70
54,52,62	129,158,94	111,102,74
59,57,66	127,156,104	111,94,75
61,64,62	116,159,97	111,91,76
54,57,56	127,162,99	111,90,71
48,47,52	134,166,99	111,87,76
215,218,216	137,171,97	111,90,80
217,217,194	146,171,99	111,90,84
203,199,195	135,173,69	133,112,97
179,152,165	108,141,87	134,111,96
155,126,91	104,138,92	136,109,98
118,108,106	121,159,99	133,115,103
109,106,95	124,157,96	132,113,109
95,101,94	123,157,85	130,114,113
92,89,93	125,155,95	128,115,110
74,72,76	121,155,98	131,114,101
68,66,75	115,155,92	134,114,102
64,76,70	114,155,87	152,147,112
62,80,67	114,154,85	155,140,115
58,76,63	119,157,80	103,97,77
70,78,60	114,153,79	100,99,73
80,73,66	122,155,85	100,94,69
76,74,71	129,158,94	97,91,66
70,73,71	127,156,104	91,89,63
95,96,90	116,159,97	76,88,61
98,95,93	127,162,99	94,92,67
98,95,93	134,166,99	103,90,60
98,95,93	137,171,97	97,96,51
98,95,93	146,171,99	113,100,77
98,90,88	135,173,69	111,99,70
94,96,84	108,141,87	111,102,74
88,96,79	104,138,92	111,94,75
